 Kd 8d Qs Th Qd Qc] [ Ad 2c 2h 7h 9c 3c 4d 8c Ks Ts 4s Tc 8s Js 8h 6c 6d Ac 3d 2d 5s 2s 4c Kh As 7d 7s 4h 6h 7c 3s Qh Jc 3h Jh Ah 6s Td 5c 9h Kc Jd 9d 5d 9s 5h];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9h, Ac]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 5h 8h Kh 3c 9s 5s 6c 2s 4c 2c Js Kc 3s 2h 9h 8s As Qh Jc 2d Jd 4s 6d Ah Ac 4d 7s 4h Td 6h Ks 3d 7c 7h 3h 9d 5c 9c 7d 8c 5d Ad Ts Jh 6s Tc];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:4,5] Hero[r:0,17] b1[f:4,5] ;Hero{12} ;12;b1[8s, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7d 8s 7h Jd Jc Kc 9h Ks 9s 7s 3d Td As 4d 4c Jh Kh Ad 4s Ah 8c 7c 5d 3c 2s 5c 5h 9d 8h 5s Ac 2h 3s 9c Qh Ts 4h 6s 3h 2c 6h Js 6d Tc 6c 2d];[Qc, Qd, Th, Qs, 7d];null;null;null;b1[r:4,5] Hero[f:92,7] ;{10} ;-10;b1[Jh, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ts 9d 5s 2d Ac Td 3s Js 7h 9c 2c 6d Tc As 4c Jd Jh 4d 9s 6c 8h 7d 8s 7s Kh 2h Jc Ks 6s Ad 3h 5d 6h 8c 4h 5c 9h 4s Kc 3d 5h 2s Qh 7c Ah 3c];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[Td, 2c]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Kh Tc Ks Jd Ah 7h Jh 8c Qh 5d 9d 3s 8h 9h 4d 7d 3d 5s 2c 2h Ac 9s 7s 5h 6d 9c Td 4h 4s Jc As 8s 6s 3h 7c Kc 6h 2s Ts 6c Js Ad 3c 4c 2d 5c];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[6s, 6h]28797;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Ah 5s 3h 2d 5d 7s Tc 9h Ks Qh Kc 5h 9d 3d Js 6h 3s 8c 2c 8s Jd 2h 4d 7h 8h 9c Ad 7d 6d 5c 7c 4c Kh As 4h Td 2s Ac 6s 6c 9s 4s Jc Jh 3c Ts];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6c, Tc]28801;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Kh Ks 8h 2d 8c Jc Tc 9d 7c 6c 4h 6s 2s 9h Kc Td 3d Qh Jh Ts 3h 9s 7h As Ad Ac 5s 5h 5d 2c Ah 7s 4d 5c Js 8s 3s 2h Jd 6d 6h 7d 4c 3c 9c 4s];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:89,10] Hero[c:0,77] ;Hero(12) ;12;b1[Ad, 7c]17110;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Td 7h 9d 6s 2c 4s 6d 3h 4c 7c Ah 5d Jc 9s 9h Kh 5c 6c 3d 7d Ad Ac Jh 9c 4h 3c Kc 2s Qh Ts Jd 6h 3s 8h 5h 4d 5s 8c 2h Ks 7s Tc As 2d Js 8s];[Qc, Qd, Th, Qs, Td];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, Tc]32874;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 3d As 6s 5c 7d 2s Qh 5h 4c 7s 4h 5s 6h Ks Js Ac 3c Jh 9s 8c 2h Kh 4s 7c 9h 8h Jd 2d Kc Ah 7h 5d 3s 3h 4d Ad Ts 9c 6d Tc 8s 2c 6c 9d Jc Td];[Qc, Qd, Th, Qs, 3d];null;null;null;b1[r:14,64] Hero[r:92,7] b1[f:14,64] ;Hero{16} ;16;b1[2h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2c Ad 5d 8s 3c Jc As 5s Ts 4s Ks 3s Kc 4h 5h 2h Qh 8h 9h 3h Kh Ah 4c 6d 5c 6h Js 9c Jh 2s 3d 2d 7c Ac 4d 8c 9s Jd Tc 7s Td 6s 6c 7h 9d 7d];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Ah, Ac]28804;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2h 5h 5s 7s 2d 9c 6s 7h 6h 7c 8h 4d Tc 5d Ad Td 6c 8c Jd Ah 9s Ks 2s 5c Kh 3s Ac 9d 3c Ts 3h Jh Js 4s 9h Kc 2c 4h 6d Jc 3d 8s 7d 4c As Qh];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9s, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3c 4c 5s 5h 8h 5c 2s 3h 2c 2d 6d 6s 7c 8s 3s 7s Ts Kc 3d 9h 7d Ah 5d Ks Js Ad 9d Jh 4s Jd Td 7h Tc 6c As 4d Qh 9c Kh 2h 9s 8c 4h Jc Ac 6h];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:14,64] Hero[c:0,17] ;b1(22) ;-10;b1[Qh, Jc]32898;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6s 9c Jh Ad 8s 4h 2c Kh Ac Jc 2s 4s Kc 8c Js 2h 7h 3h 3c 7s 5c Jd 5d 2d 3d 9s 7c Ks Ts Tc Qh 8h 6d As 4d 4c Ah 6c 9d 9h 6h 3s Td 7d 5h 5s];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[8h, 8c]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5s 9h 3h 5h 6d 2c 9c 4d Ad Qh 9s Ks 7d 8h 4h Jc 5c Td 7s 6c 2s 9d 2d 6s Kh 2h 7c Js 8c Ah Jh 5d Kc Ac Ts 3s 4c 6h Jd As 4s 8s 3c 3d Tc 7h];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[7c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2h Jh Js 6d 9s 3h 3c Ah 4s Tc Ac 6h 6s Kh 8h Ad 8c 5d Ts 7h 5h 4c 4d 2d 6c Kc 2s 7s Ks 7d Td 3s 4h Qh 3d As Jc 8s 2c 7c Jd 5c 9h 5s 9c 9d];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[8s, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c Js 7s 3d Ks Tc 3h 6s Td 4h 4d Jc 4s Ts 6d 9s 5h 8h 3c Ah 7h 5s 2s 6h Qh 5d 2d 9h Kc 8c Jh Ad 8s 4c 9c 9d 2c 5c As 7d Jd Kh 6c Ac 3s 2h];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[c:4,5] Hero[c:0,77] ;b1(22) ;-10;b1[9s, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d 9s 9c 5s Ks Ts Td 2h 6s 7s 7c Jd 5c 3h Kc 5h 2s 8h 4d 9h 2c 7d Ad 3d 3s 5d Js 6d 6h As 8c Jc 4c Ac Ah Qh 4s 2d 8s Tc Kh Jh 6c 7h 3c 4h];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[7d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Js 9h 2s 6s 5d 8s 5h 6c As 9d Qh 8h 3c 2d Kh 4s Tc 9c 7d 6h Jc 4d Td Ac Kc 2h 9s Ah Ad 8c 4h 7c Ks 6d 7s 4c Jd 2c Ts 5c 3d 7h Jh 3h 3s 5s];[Qc, Qd, Th, Qs, Js];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[Qh, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5d 2s Ad 8h Js 8s Ah 3h 4c Kh 2d 4s 4h 5s 9d 6d 2c 3s Tc Kc 6s 5c 6h 5h 3d 7c 7h Jh Ac Td 9c 9h 7d Jd 3c Ts As 7s 8c 2h Ks 4d Qh Jc 9s 6c];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;b1(30) ;-14;b1[6h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3h 5s 2d 4s 6c Jh Js 6h 2h Ac 7c 9s 5h 3c 5d 6s Ks 8h 6d Kh 5c Ts 7s Tc Jc 3d 7d 8c 2s 8s 9d 7h As 4c Kc 4d Td Ah Qh 3s Ad 9c 2c 9h Jd 4h];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[7s, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Tc 8h 9d 2d Kh 6c Qh 3s 4d Ks 7c Jd 7h 6s Ts 3d 6h 7s 9c 5d Td Jc 4s Ah 9s 3h As Ad 8s Js Ac 6d 4h 5h 4c 5c 3c 2s Kc 5s 2h 8c Jh 9h 7d 2c];[Qc, Qd, Th, Qs, Tc];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[4s, Ts]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 2c 7d 9c 8c 9d 3c 5h Qh Kc Jh 6d Td 2h 2d 7h 5s Ad 4h 3d Tc 4c 3s 6h Ts Ac Ks 6s 5c Jc 8h 3h 4s 4d 7c 7s Jd 9s 8s 9h 6c Ah 2s 5d As Kh Js];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[3c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5s 5c 3s 9h Ks 4d 8h 9s Ac 9d 7c Js 9c 8s Kh As 6d Jd Tc 7h Td 7d 7s 2c Ad 4c 6h Ah 6s 2d 2s 5d 5h Jc 4s 6c 3d 8c 4h 2h 3c Qh Ts Jh 3h Kc];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[9s, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7s 3s 9s 3c Kc 5s 9d 9c Kh 2s 4s Js Jc Ts 6h 7c 2d Tc 6c Ad 5h Jd 6d As 4c 4d 9h 3d 8h Ac Ah 7d 2h Qh 4h Ks 5c 6s 8s 8c 3h 7h 2c Jh 5d Td];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Kh, Ac]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9s 5h 9c Kc Ah 2h 2d Tc Jd 3s 6h Jh 4d Ac 7c Ks 3h 2s 5d 7s 8c 6c 5s 4c 4s 2c Ts 6s 8s 9h 7h Kh 6d As 3d Js Qh 4h Jc 9d 5c 7d 3c Ad Td 8h];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[8s, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts 7s Kh Td 8h 9c 3d 6c 4h 5d 2h Ks 4d 3c Qh 2d 6h 3s Ad 4s Js 6d 9d Jh Kc 9s As 2c 7d 9h 3h 2s 8s Ac 5s Ah Tc Jc 6s 7c 4c 7h 5c 8c 5h Jd];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[Ad, Kc]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 2h 8c 9c Ks 6h Kh 7c 4s 2c 5h Ah Ac 8h 6s Ad As Jd Jh 4c Td 9h 7h 9d 2d 3c Ts 2s Tc 3s 6c 9s 7s Kc 3h 4h Jc 5d 5s 3d 7d Qh 5c Js 8s 6d 4d];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:89,10] Hero[c:0,17] ;Hero(12) ;12;b1[9d, Jd]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3h 2d 5c Jd 9c 7s 4h Js Td 4c 5s Ac 5d 4d 9h Kh 8c 4s Jc 9d 8s 3s 2h 7c 9s 6h 2s 3d Ad 7h 6d 2c Kc 7d 5h 6c Ts Ah Ks Tc 8h 6s As Jh Qh 3c];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[c:89,10] Hero[c:0,17] ;Hero(12) ;12;b1[9s, 8c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kh 6d Ad 5s Ac Ts 9d 8s 9h 3c 2d Qh 8c 2s 3h 5h 3d 7d 6c 3s 2c 6h 5d Jc 4h 7c 4c 4d 8h As 9s 2h Kc Tc 6s 9c Ks Td 7s Ah Js 7h Jh 4s 5c Jd];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[7s, Td]28801;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 6h 7c 7s 9h 2d 4h Qh Js 2c 7h Ad 4s Ac 4d Td 5s 5d Ts 7d Tc 4c As Ks Kc 9c Kh Ah 8c 3s Jd 9s Jh 3h 3d Jc 9d 3c 6s 6d 5h 8h 6c 8s 2h 2s 5c];[Qc, Qd, Th, Qs, 6h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, Jd]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ks 8s 4s Jc Ad As Qh 6d Tc 3s 7s Ts 2s 3d 9s 2c 7h 6c 4d Ah Kc 5h 9d 5s 6s Js 2d 3h 9c Ac 3c Jh Td 8h 7c 2h 4h 4c Jd 8c 9h 5c Kh 7d 6h 5d];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[3s, 3d]28794;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 5h 3h Ts 5c Ac Jc 7d 7s 2c Qh 5s 4c 7h 6c 6d 9d 3c 7c 6h 2d Ah 9s 8c Js 9h 5d Kc Ks 9c 2s 4s Jd As 2h Kh Jh Td Tc 4h 8s 8h 6s 3d 4d 3s Ad];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[2c, 5c]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3c Ah 6h Ac 4c 4s 8h 3s 5h 7d 9s 2s 4d Qh 2d Td 8c 8s 5s 3h 7c 7h 6d 9c 2c Jh 9d 2h 9h Tc Ks 7s 6s 5d 4h Jc 3d 6c Kc Kh 5c Ts As Jd Ad Js];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Ks, Ad]17110;b2;Hero[8d, Kd]17098;b0
