 Kd 8d Qs Th Qd Qc] [ 2h Ac Js Td 9c Jc 4d 6s Jh 9d 3d 7c 4c Tc 6c 2s 2c Qh 8h 5c Ah Ts 7h 8c 9h 3s 8s 6d 7s 4h Kh 9s 2d Ad 3h Ks Jd As 7d 3c Kc 6h 5d 5s 4s 5h];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[8s, Js]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d Ah Ks 5h Td 8c Jh 3d Qh 4d Jc Tc Ad Kh 2c As Jd 2h 3h 5d 3s 9s 7h 6s 9h 7c 3c 9c Kc 4s 7d 6h 4c 2d 5s Js 8s 6c 8h 7s Ac 5c 4h 2s Ts 6d];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Ah, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2h 9c 5h Tc Kc Jd 2d Kh Jc Ac 8h 3h Ad 4h 4c 2s Jh 4s 3d 5c 3c Ks 5s 6s 8c 6h 4d As 7c Qh Js 9s 8s 6d 7s Ah 6c Ts 7h 9d Td 9h 5d 7d 2c 3s];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[2h, 2d]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8h 3c Jd 8c 5s 4c Ks 2d 9s 5h Kc 5d 3s 6s 4d 7s 4s Td 9h Tc 8s 9c Jc Js 2h 7c 3h Kh Jh As Ad 6c Ah 7d 7h 5c 2s Qh 6h 2c 3d 6d Ts 9d 4h Ac];[Qc, Qd, Th, Qs, 8h];null;null;null;b1[r:18,51] Hero[c:0,23] ;b1(11) Hero(1) ;1;b1[9h, 8c]28799;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Ah 4c Td 8s Jd 5h Jc 3c Kc Qh Ks 6d 5d 6h Tc 7s 9c 3h 4h As 7d 2d 8h Ac 4d 6c Ts Jh Js 4s 9s Ad 3s 7c 5s 3d 8c 6s 9h 5c Kh 7h 2s 9d 2c 2h];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(7) Hero(1) ;1;b1[9d, Kc]17110;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 2d As 9d Jc Tc 6d 8h 4c Ac 5h 2h 4d Jh 3d Js Kc 9h 7d 6h 7s 5d 6s Ad 8s 7h Td 9c 6c 4h Qh Ks Kh 2s Ts 3h 4s Jd Ah 7c 3s 8c 5c 3c 5s 2c 9s];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[5h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ac 6h 3s 6s 7s Td 4d 9s 8c 2s Kc 9c 2d 4s Ks 8s 5s Js 4c Jc Qh Ah 6d 7c 7h 9h Jh 5c 3h As Tc Kh 5h 3d 6c 8h 7d 2h 4h 9d 2c Ts Ad Jd 5d 3c];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:18,51] Hero[c:0,23] ;b1(14) ;-6;b1[As, Jh]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 4c Ah 5d Qh 2h 9d Js Td 2d 6d 4h Jc As Tc 9c 8h 3s 2c 7h Jh 7c 5h Jd 3d Kc Kh 9h Ts 7d 3h 6c Ad 7s 2s 4s 8c 6h 8s 3c 5c 9s Ac 5s Ks 4d 6s];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Kh, Jc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d Tc Ad 8c Jd 6d 7d Kh Ts Ks 4c 8s Jc 7h 5h 9c Jh 3d 6h 9s Kc 3c 5d 2c 5s Ah Td 7c 4h 8h 9h 3h 4d 2h 3s 6c Qh Js As Ac 2s 4s 6s 5c 2d 7s];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:18,51] Hero[c:0,23] ;b1(14) ;-6;b1[2h, Qh]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h 7c 3d 6c Jc 2h 5c 5s 8h 2c 3h 9s Js 3c 4c 3s 7d Kc 2d Ks As Td Ah Kh 4d Ac Ts Jd 7h 9c 5h 6s Tc 4h 4s 9d 6h 2s 6d 8c 8s Ad 7s Qh Jh 5d];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[7h, 7d]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7s 8s 2s 7d 2h 9c 6s 7h 3h 4c As Tc Kh 2d 8c Td Jc Ad Js Ah 3c 6c Jh 4s 5c 9h 5h Ac Jd 8h 9s 5s Ts 4h 2c 4d Kc 9d Ks 5d 3d 6h 6d 3s Qh 7c];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[6s, 6d]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts 5h Ad 5d 2c 4s Ac 9c 8c Tc 9s 3h As Jd 7c 2h 3d 6c 2d 6h 4d 2s Js 8s Jc 8h 7d Ks 5s Kh Qh 3c 3s 5c 9d 7s 4c 9h Td 6s 6d Jh 7h Ah 4h Kc];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(7) Hero(1) ;1;b1[7h, Ac]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Ad 9h 5d Kc 6h 2d 5c 6c 4h 9c 9s As 4d 4c 5h 3d 6s 3c 8h 9d Ts Ah Qh Jc 2h Js 8s Td Kh 7s 8c 3s Jh 2c 3h 7d Tc 7c Ac 5s 6d Jd 2s 4s Ks 7h];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[Ah, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6h 2h Tc 9d 7d Jd Jh 3d 8s Ad Jc 8c Kh Qh Ah 9s 6c 9h 5d Td Ts 2s 7s 6s 2c 5c 4h 8h Kc Ac 5h Ks 9c As 6d 5s 3c 4d 2d 4c 7c 4s 3h 7h Js 3s];[Qc, Qd, Th, Qs, 6h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Jh, Kc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4d 5c As 8s 5s 2c 5h 4c Ts 5d 2h Jc 6h 3d 2s 3c 4h 4s 7c 6d 7h 9c Kc 3s 8h Js Ah Kh 9d Jh Ac 9h 6c 8c Ad 9s 6s Qh 7s 7d 3h 2d Jd Ks Td Tc];[Qc, Qd, Th, Qs, 4d];null;null;null;b1[c:6,8] Hero[c:0,69] ;b1(7) Hero(1) ;1;b1[9s, Ks]17098;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2d 9s 9c 8s 2c 3c Jc 7h As 9h Kh 4d Ac 5h 8h 3h 8c Td 4s 7c Kc 7d 4h Ad 6s 5c 2s Tc Qh Js Ks 6d 9d 5s 6c Ah Ts 6h Jh 7s 5d Jd 2h 3d 4c 3s];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[4s, 4d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Qh Ac Td 3h 4s 5s 9s 9d Ts 5d 7d 2s Ah 7c 9h 7s Kh 4d Ks 9c As Tc 5c Jd Jh 8c 7h 3s 3d 5h Jc Kc Js 6s 2h Ad 8s 4c 2d 6h 4h 6d 3c 8h 2c 6c];[Qc, Qd, Th, Qs, Qh];null;null;null;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(11) Hero(1) ;1;b1[Kh, Jd]32899;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ Ks Ac 3h Kc Jh 3c 9d 6d 9s 4s 4c Ah Ts Js Qh Jd 3s 9h 5d 6s 7h 9c 7d Tc 8s 2c 8h 3d 6h 2d Kh Td 5s 7s 7c 4d 4h As 5c 6c Ad 2h 2s Jc 8c 5h];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[r:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[Jd, Ac]20490;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 2h As 7c 9s 5s 5c 7h Jc 3s Ks 2c Qh 9d 4d Tc Ts 9h 4s 2s 4c Ah Jd 6s 9c Jh Kh 7d 8c 6d Js Td 8h 6c Kc 6h Ac 3h 3c 2d 5h 4h 3d Ad 7s 8s 5d];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,69] ;b1(14) ;-6;b1[5h, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c 3d Qh 8s 8h 4h 2d 9s Ad 7s Kh 2h 3h Ac Jc 9h 6h 9d 2s Tc 6d 7h 7d 5s Td Ah 6c 3s 4c Jh 4d Js 4s 6s 9c 5h 3c Jd 2c Ks Ts As Kc 5c 5d 8c];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[c:6,8] Hero[r:0,23] b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[9c, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6c Jd Td 2c 2s Ac 8c Kc Js 8s 7s 9c 6d 5d Ad 3d 5h 5s As 3h Ts 4c 9d 9s 4d Jh 7c 3c 5c Qh 7h 2h 7d 6s Tc Ks Kh 6h Jc 4h 3s 8h Ah 9h 2d 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{8} ;8;b1[8s, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7d Td 9c 8h 6h 2s 6s Ts Tc 6d 6c 3d 4s 2c 5h Jh 3c 4d 4h Ks 5d 9h 3h Ah Ac 5s Jc 3s 7s 9s 2d As Qh 8s Js Jd 2h Kh 8c 5c 4c 9d Ad 7h Kc 7c];[Qc, Qd, Th, Qs, 7d];null;null;null;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{8} ;8;b1[9h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3c As 6h Kc 9h 4h Jd Qh 7c 2s 5c Kh Jc 3s 9c Ac 7h 3h Tc 5h 6s 7d Ks 8s 3d 2h 8c Ah 9d 6c 5d 4d 2d 4s Td 6d 8h Js 7s 9s 4c 5s Ad Jh Ts 2c];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[7h, 7d]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6d 9c 2c 6c 5h Kc 9h 9s 3c 4h 5c Td 7s Tc 3s As 5d 8s 4d 3h 7d Jd 9d 8c 2h Qh 4s 7h Ac Jh Jc 2s 4c 7c Js Kh 6s 3d 8h Ks Ad 6h Ah 2d 5s Ts];[Qc, Qd, Th, Qs, 6d];null;null;null;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(22) ;-10;b1[8c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jh Jd Td 5c 2s Ts Ad 6s As 6d Ac 5s Qh 3c 6h 9c 9s 4h 2d Jc 2h 9d 2c Ah Kh 3d 5d Tc 8s 8c Kc 9h 4s 4c 3s 8h 5h 6c 3h Ks 7s 7h 7c 7d 4d Js];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[Td, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2c 6s 4h 9d 6h 4c 6c 4s 9c As Td Ac 5s Kh 5c 2h Ts 3s 7c Jc 7h 5d 9h Ah 6d 3h 3d Kc 8s Ad Qh Ks Js Jd 3c 8h Tc 7s 8c 9s 4d 2s Jh 5h 2d 7d];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[5s, Ts];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5h Jc Js 7d 2s 9c 7s Ks Ac 2h 9s 7c 8s 4d 4c 6d 2d Jh 4h 8h 7h Jd 3h 5d 5c 4s Kc 3d 6s 3c Ts 3s 6c Qh 8c Kh Ad Td As Tc 6h 2c 5s 9h 9d Ah];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[4s, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ks 3d 6h Jh 5s 3h 8s 5c 7c 4c Td 8c 9d 4s 8h As 6d 9h 9s Ad 2d 9c Tc Qh 7s 7d Kh Ac 4d 4h Jc 3c Ts Ah 7h 3s Jd 5d 6c 2s 6s Js Kc 2h 2c 5h];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[c:6,8] Hero[c:0,69] ;Hero(8) ;8;b1[9s, Ts]28801;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 2h Qh Td 2s 6h Js 7s 2c Jc 7h 6s 5s 9s 7c 6c 5d 8c Ah 3d Ks 8s Jd Kc 4h 9c 3s 6d Ac Ad 5h As Tc 3c 2d 4c 3h Ts 9d 4d Kh Jh 5c 8h 9h 4s 7d];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{8} ;8;b1[2h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 8c 9h Ac 4c Ah As 7c 9d 7d 9c 5c 4h 4d Kc Qh Tc 5d Kh 4s Js 8s 8h 3h 2s 5h 7s 6h Ks 3d Jd 2c 3c 6c Jc Td 2h Ts 9s 3s 6s Ad 6d 5s Jh 2d 7h];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:6,8] ;Hero{8} ;8;b1[Ad, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2d 5s 6s 7d 8h 9d 6d 3c Ts 3h Ks Ac 9s 4d 3d Qh 5c Jh Jd Td Js Tc Kc Ad 4s 8c 2c 7c 8s 2s 4c Jc 9h 6c Ah 4h As 5d 3s 2h 7s 5h 6h 9c 7h Kh];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[Js, 9d]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7h 3c 2h 8h 8c 9s 3s 5h Jd Td 6c 4s As Kc 5s 3h Tc 4c Ks 9c 8s 9h Js Jc 7c 6d 7d 2c 4h 4d 2s Qh 7s Ac Ts Jh Ah 3d 6s 6h 2d 9d Kh Ad 5c 5d];[Qc, Qd, Th, Qs, 7h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Jc, Kc]17099;b2;Hero[8d, Kd]17098;b0
