 Kd 8d Th Qd Qc] [ 5c 9s 6c 4c Tc 9c Ks Kh 7h Qh 4d 9h 3h 2d Ts 2s 2c 5d Ah 7s 5h 7c 3c Td 6h Kc Jc 3s As 6s 9d 7d 8c 6d Js Jd 4s 8h Qs Ad 4h Ac 5s 8s 3d Jh 2h];[Qc, Qd, Th, 5c, null];null;b1[r:8,75] Hero[c:0,16] ;b1[r:7,80] Hero[f:92,7] ;null;{8} ;-8;b1[Qh, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Qh 7c 7d 7s 4s 4c As 6h 8s Kc 3d 4d 9c Jd 7h Jh Ac 8h Ts Td 3c 9s Ad 5d 6d 6c 6s Ah Kh Jc Ks 2h 2d 3s 2c 9d 8c 3h 2s 5h 5s Qs 4h Js 9h 5c Tc];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3s, Ks];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jh Jd Td Ad Ts 2c Qh 3d 6s 6h 9c Ks 8c 5c 4h 3s 2d 5h 7d Ac 5d 5s As 4s 7c 6c 3c Tc Kh 2h 9d Ah 8s 7s 8h Js Qs 6d 3h 9h Kc 9s Jc 2s 4c 4d 7h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4s, 5s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ac 7c 9h Ts 4d Ks Kh 8c Qs 2h Jd Tc 4h 5s 3c As 9c 4s 2s 3d 7h 7s 8s 6h 7d Kc 4c Ah 6s 9d Jc 5h 6c 5d 3s Td 5c Qh 2d Jh 9s Js 8h 3h 2c 6d Ad];[Qc, Qd, Th, Ac, 7c];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[Ad, Jc]13134;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 9d 3c 7d 4s 3h 4c 6s Qs Jc Ac 9c Ts Kc 5c 2s 8c As Ad Tc 9s Td 4h 7s Js Qh 7h 7c 6h 2c Ah 6c 5h 3s 6d 2h Ks 2d 5s 8s 4d 3d 9h 8h Jh 5d Kh Jd];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jc 5s Qs Td 7c Ts 5d Kc 8c 7d 9s Ac 4c Ks 3h Tc 4s 9h 8s 8h 6h 3d 9d 4h Kh 5h Ad 6s 2c 6c As 3s 2d Js Jh 7h 2s 7s 9c Ah Jd 2h 3c Qh 5c 4d 6d];[Qc, Qd, Th, Jc, 5s];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Jh, 8c]12891;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ 2d 3h 9d Jd 4s 8c Qh Ad 5s 5c 9s 3c Ac 7h Jc 8s Kh 3d Js 7c Qs 9c 8h 7d 2c 6h Kc 9h 6c 5d Ah 6d Ks 2s 5h 2h 4h 6s 3s 4d Td 7s As Ts 4c Jh Tc];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[As, 4h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ah Td 5s 3s Js Ks 5h Qs Kc Ad 6s 9d 2c Ac 2d 7d 5c Jc 2s 6c 6d Jd As 4d 7h Qh Jh 4s 5d Kh 4h Tc 9h 7s 3h 7c Ts 8s 3d 8h 6h 2h 9c 8c 4c 9s 3c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4s, 6s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9d Ks Jh Ts 8s Jc As 4h Tc 6d Kh 4c 5s 5d 6s 7h Qh 2d 7d 7s 9h Ac Ad 3c 7c 3d 6h 4s 8h Jd 9s 2s 3s 2h 5h Js 9c Td 5c Ah 6c 8c Kc Qs 4d 2c 3h];[Qc, Qd, Th, 9d, Ks];null;b1[c:6,6] ;b1[c:7,80] Hero[r:0,16] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[8s, Qh]17098;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ 3h 8h 9h 7c 2s 6d 8c Ac Tc 4d 2d 7d 3d Ks 5h Jd 5d Ah 6s Jc As 3c 9d Qh Td Jh 6h 9c Ad Qs 3s 4s 8s Js Kh 7s Kc 6c 2c 5s 5c 7h Ts 9s 2h 4h 4c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Js, 2h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5s Ad 4c 9h Js 2c Qs Tc 3s 5h 9s 6c 7d 8c Ks 6d 2d 2s Td Kc 4d Jd Ac Ts Jh 3c 9c 5c 3h 4s 3d 7s 8s Ah Qh 6s 8h 7h 5d 6h Jc 9d 7c Kh 4h As 2h];[Qc, Qd, Th, 5s, Ad];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[Js, Td]12882;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ Ac Qs 6c 4d 2d Ah 9c Jh 5s 7c 8c 6s 5h 6d Kh 7s 2h 3d 7h Ts Jc 3h 4s 9h Td 6h 3s 5c Ks 9d 2c Js 9s Kc 4c 7d 5d 8h Jd 8s 2s Qh 3c As 4h Ad Tc];[Qc, Qd, Th, Ac, Qs];null;b1[c:6,6] ;b1[c:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[Qs, 7d]32900;b2;Hero[8d, Kd]17110;b0
 Kd 8d Th Qd Qc] [ 3d Ks 4s 9s Tc Kh Qh As 4h 7h 3h Jd 8s Kc 5c 9c 8h 4c Ah 2s 6c 5h Ac 5d 6s 8c Jh Td Jc Qs 2d Js 3c 2h 2c 6h Ts 7s 9d 6d 5s 3s 7d 9h 7c Ad 4d];[Qc, Qd, Th, 3d, Ks];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Jd, Kc]13013;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ 4d 6h 5c Jh 4h 9d 6s 7s Ad 3c 8c Qs Kc Ks Qh 2h Ah Jd Js 6c Kh 9s 9h 2d 7d 8h 4s 7c 5d 3s 9c 7h 3d 5s Tc 4c 2c 8s Ac 6d Td Jc 2s As 5h Ts 3h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4d, 5d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ad 8s 2s 3h Ks 9d Td As 5d 3c Qs 2h 4s Qh 6h 7s 9h Ts Kc 3d Jd 5c 7c 3s Ac Ah Js 4c 2c 7d 6c 5h Jh 2d 9c 7h 6s 4h 8h 8c Tc 6d 9s Kh 5s 4d Jc];[Qc, Qd, Th, Ad, 8s];null;b1[r:6,6] Hero[r:0,16] b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9s, 9h]12871;b2;Hero[8d, Kd]12860;b0
 Kd 8d Th Qd Qc] [ 3c Kc 2s Ah Td 7s Qh Jh Ad 8h 8c Ac 9h 2h 6d Ks 2c 7h 5s 3h 5h 5c As 6c 3s Tc 6h 8s Qs Kh 5d Ts 9d Js 9c 9s 7c 4h Jd Jc 6s 4c 2d 4s 3d 4d 7d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4h, 6h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2s Kc Ac 9c Qs Jh 3h Jc 4s 3c Ah 6d 5d 9h 7h 7c 2d Td 8c 6s Tc 9d Kh 6h 2c 4c 8s 3d 7s 6c 5c Ts 2h Jd 5h 8h Ad Ks Js 7d 3s 4h 5s As 9s 4d Qh];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5c, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ac Kh Jd 3s 3c 2s 4h 2c 6s 4c 6c Ks Ah 9c 8h 8s 8c 2h Qh Td Kc 7s 3d 6h Qs Ts 4d Ad 9h Js 7d 6d 5h Jc As Jh 7h 5s 9s 9d 7c Tc 5d 2d 3h 5c 4s];[Qc, Qd, Th, Ac, Kh];null;b1[c:6,6] ;b1[c:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;b1(22) ;-10;b1[Js, 9d]20490;b2;Hero[8d, Kd]13014;b0
 Kd 8d Th Qd Qc] [ 5c Ah 4c Ks 2s As 5s 3h Jh Ad Qs 9s Ac 2d 8c 9d Jc 3c Td 6c Kc 7c 9c Js 4h Jd 6s Qh 5d 7d 4d Ts 2c 6d 3d 8h 3s 5h 9h 8s Tc Kh 6h 4s 7h 7s 2h];[Qc, Qd, Th, null, null];null;b1[f:6,6] ;null;null;Hero{6} ;6;b1[Ts, 7h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7h 7s 2d 7d 3h 9d 9h Ah 3s 9c Kh 9s 2c 4h 6d Qh 8c 6s Qs Jh Jd 4c 5d Tc 6c 8s 5s 2h Kc Jc Ts 4d Ad 5c Ac 3c Ks 5h Td 4s As Js 2s 3d 8h 7c 6h];[Qc, Qd, Th, 7h, 7s];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(8) ;8;b1[9h, 8c]12846;b2;Hero[8d, Kd]12848;b0
 Kd 8d Th Qd Qc] [ Jc Tc 5c Js 6d 5h Ad 7h 7d 8c As 3d Qs 9s Ts 4s Qh Ks 4h 7c 4d Jh 5d 2s 2h Kh 3s 2c 9c 7s 8h 2d 8s Kc 3c 6c 3h 5s 4c Ac Jd 6h 9d 9h 6s Td Ah];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[9h, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2s 8h Ks 4c 9s Jh 8s 5s Ah 2h Td 5h Js Qs 3s 7c 7h 3d 7s Jc 6s 6c Qh 2d 9d 6d Ts 8c 4d Kc Tc As 2c 5d 3c 9h Kh 5c 9c 4s Ad 3h 6h 4h 7d Jd Ac];[Qc, Qd, Th, 2s, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[7s, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ad Ts 2h Td 2d Jh 9d 3c Jc 3d 4c 6h 6s 8h 6c As 8s 9h 5d 4d Qh 7c 6d 4h Tc Jd 9s Kh Ah 7h 5s 7d 7s Ks 5c 2s 2c 3h Kc 5h 3s Ac Js Qs 9c 8c 4s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5h, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Js Kc 3c 5d Ks Jd As 7c 4c 2d 6h 4s Kh 3s Ad 9h 9d 8s 7h 6s 5h 9s 6d Jh 4d 5s Qh Qs 3h 6c 2c 8c 7d 2h Td 8h 7s 4h Ts 5c 2s Ah Ac Jc Tc 9c 3d];[Qc, Qd, Th, Js, Kc];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[Js, Ad]20490;b2;Hero[8d, Kd]13013;b0
 Kd 8d Th Qd Qc] [ 3h 5c 4s 9d 9h Ah Qh 2c 5d 5s Qs Ac 4h Ts 3d 5h 8c 6h Jc 2s 6c 8h Jd 9c Ad Js Tc 7d As Ks Kc 7s 8s 2h 3s Jh Kh 2d 9s 7h Td 7c 3c 6d 4c 4d 6s];[Qc, Qd, Th, 3h, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[Qh, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3h 2c 5h As Jd 9h 8c Ad Jc 9c 6h Jh Ks 6s Js 4h 3d 3s 4d 7h Kc Ah 6c Ts 2s 7s Td 6d Tc Ac Qs 2h 5c 9s 8s Qh 9d 8h 4s 4c 5s Kh 7c 2d 5d 7d 3c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6h, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8h Kh 2c 7h 8c 8s Qh 7c 3s Jh As 3d 2h Ts Kc 3c Js Ah 5d 5c 9d 4s 6s 9c Jd 5h Tc 3h 4h Qs 6d 7s 5s 2d Jc 6c 9s Ks 9h 2s 7d 4d Ad 6h 4c Td Ac];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2d, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9c Qh 2s 9d Kh Ac 3d Jd 4c Tc 5s As 2h Ah Ad Ts 3c Ks 6h 8s Jh 7c 4d 3h Jc 8h 8c 9s Kc 7d 6c 2d 3s 7s 7h 2c Qs 5d 5c 4h 4s 6s 9h 6d Js Td 5h];[Qc, Qd, Th, 9c, Qh];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{6} ;-6;b1[As, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3c Kc 5c Qh 7d Qs Js 4d 2c Jh 2s Td Ac 7c Ks Jd 7h 4c Kh 3d 3s As 9c Ad Ah 6h 4h 9s 8h 6c 8c Ts 5d Jc 2h 6d 8s 3h 9d Tc 6s 4s 7s 2d 5h 9h 5s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Kh, 2d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9d Ah 6h 8c Qh Jh 5s 2d 7c 2h 9h 3s 6s Kc 5c Qs Jd 3c 8h 5d 5h Ad 4s Ts 2s 7d 6d As Jc 9c 2c Js 4d Kh 7s 3h 3d Ks 8s Ac Td 4c 7h 6c 4h 9s Tc];[Qc, Qd, Th, 9d, Ah];null;b1[c:6,6] ;b1[c:8,5] Hero[r:0,16] b1[r:7,80] Hero[r:0,16] b1[c:7,80] ;b1[r:8,78] Hero[f:96,4] ;{18} ;-18;b1[8s, Qs];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9s 3c 8s 6c Td Js 4s Qs Ts 7c 3s 7s 4c 6d 2s As 2d Jd 7h 6h 3d Ah 5d 7d Ks Ac Jh 5h 9c 8c 2h 4d 9h 9d 5c 2c Jc Kc 3h Tc 8h 4h Qh Kh Ad 5s 6s];[Qc, Qd, Th, null, null];null;b1[f:8,75] ;null;null;Hero{6} ;6;b1[8h, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Qs 2s 2d 5h 7s 6s 8h 7h 6d Jh Js Kh Ac 7d 7c 3h 4d 5s Qh 9c Ks 4c 2c 5d 2h 4s Td 8s 4h Tc 9s Kc 6h 9h 8c Jc As 6c Ah Ts 5c Ad Jd 9d 3s 3c 3d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[9s, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9s Qh 9h 7c 4h Ah 3s Td Jh 2s 2h 6h Qs 6c Tc As 8c Js 6d 2c Jc 8s 5h 9d 2d 8h Ad 7s 5c 3h 6s 4c Ac 4s 7h 3c 3d Kc Ks 4d 7d 5s Jd Kh Ts 5d 9c];[Qc, Qd, Th, 9s, Qh];null;b1[c:6,6] ;b1[c:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[8h, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Th Qd Qc] [ 8c Td Jd 6d Jh Ad Ah 7d 6h Ts Kc 2h 9h 4c 5d Ac 3s Tc 3d Qs Kh Js 2d 2c 9c 4s 7h 7s Qh 8h 9d 2s 5h 4h As 6s 3c Ks 5c 6c 7c 8s 9s 3h 4d 5s Jc];[Qc, Qd, Th, 8c, Td];null;b1[c:6,6] ;b1[r:7,80] Hero[c:0,16] ;b1[c:8,78] Hero[c:0,9] ;b1(22) ;-10;b1[9s, Js]20488;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 4s Ts 6s 3h 5d Js Ac 6c 3c Tc 4h As 3s Jd 9c 9d 5h Ks 7s 6h 7d 5c Jc 7h Kc 2d Qs 8c Td 9s 4c Kh Ad 5s 2c 2h 4d 8h 6d 2s 9h 3d Ah 8s Jh Qh 7c];[Qc, Qd, Th, 4s, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[Kh, Td];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4c 2d 6h 3d 4h Jh Ts 3h 5c 2c Kh 7c Qs 4s Jc 2s 9s Qh Ac 2h 7h 6d 5d 9h 4d 7s 3c Ks 3s Jd Ah 9c Tc 9d Js 5h Ad 5s 6c 8h 7d 6s 8c Td 8s As Kc];[Qc, Qd, Th, 4c, 2d];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{6} ;-6;b1[5h, 5d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4d 5c Jd Td 4c 7c 3c 2d 6s 3d Ah 9h 3h Ts 9s 5h 8c 3s 6c 7h 2s 5s 8h 9c Js 9d As Jc Qs Ks Kh 2h 2c 7d 6d 5d Ad 7s 8s Qh 6h 4s Ac 4h Tc Jh Kc];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Ad, 2c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d 3s Jh Kc 2d 6s 6h Ad 9d 5d 2h 7c 7d Ts 5h Ah 4c 3c 8h Jc Td 5c Js 9s 4d 8c As Qs 6d 8s 7s 3h Kh 4h 9c Jd 9h 7h Tc 4s Ac 6c Ks 5s 2c 2s Qh];[Qc, Qd, Th, 3d, 3s];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,9] b1[f:94,5] ;Hero{8} ;8;b1[9s, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jd Kc 7d 6h Ah Ac 3s 8c 7s 4h 6s 6d 7h 9d Js Td Qs 2c Ks Tc Kh 3h Qh 4s Ad 9s Ts 2h 2s 5s 6c As 3d Jh 2d 8h 4c 8s 9c 9h 5h 7c 3c 5c Jc 4d 5d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3h, 5h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4d 6c Ad 5c 4s 5h 7d 2s 8h 2d 6s 4c 7s Qs 7c Qh Kh 9c Ks 4h 2h 5d 5s 6d Jd 3d Js 8c 9s Kc Ac 3s 7h Ts 3c As Tc Td Jc 9d 9h 6h Ah 8s Jh 3h 2c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5c, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Qs 5c 9c 3d Ah Td 8h 4s 9h 6c 2d Js Kh Jd Kc 3s 2c 4c 4h 5s 3c 6s Ts 5h As 7h 8s 9s 7d 3h 5d 2s 9d 7s 4d Tc 7c Qh Ad 8c 6d Ac Jc 2h Jh 6h Ks];[Qc, Qd, Th, Qs, null];null;b1[r:8,75] Hero[c:0,16] ;b1[c:8,5] Hero[r:0,16] b1[f:87,9] ;null;Hero{10} ;10;b1[5c, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks Ts 5c 3c 4h 9s Td 3h 2c 9c Kc 2s 5h 8h 3s Ac Ad 7s Jd 4d 8c 6s 6h 8s 9d Jh Jc Ah 6c 5s 3d 7d Tc Qh Kh Qs 7c 4c As 7h 2d 5d 2h 9h Js 6d 4s];[Qc, Qd, Th, null, null];null;b1[f:8,75] ;null;null;Hero{6} ;6;b1[5s, 6s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3s Jd Ts 8h 9d Jh Jc Qs 4d 4s 7s 6c Js Kh 7c Ac 2c 8s As 7h 4h 9c 6h 5h 5c 5d 3d 8c 4c 3c Ad Td 3h 2s Kc 2d Ks 7d 9h 9s 6d Ah 5s Tc 2h Qh 6s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2c, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6s As 3d 4d 3h Kh 5s 4h Qs Ts Ks 4s Ac 3c 8c 5h 7h Js 9h Ah 7d Kc 7s 2c 2d Td 4c 8h 6d 5c 2s 5d 6c Qh 6h 7c Jd 2h Tc 9c Jc Jh 3s Ad 9d 8s 9s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6h, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4h 2d As 8s Td Jd 9d 7c 7h 9h Ts Qs 6d 6h 9s 4d 6c 3d 5d 5h 2c 8h Ah 6s Kc Kh 7s Jh Js 4c Ad 5s 9c 2h 3c 7d 5c 2s 3s Ac Ks Qh Tc 8c 4s Jc 3h];[Qc, Qd, Th, 4h, 2d];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[r:8,78] Hero[r:0,87] b1[f:94,5] ;Hero{12} ;12;b1[Jd, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9d 8c Qs Ad Ts Jd 5h 9s 8h Qh Jh 2h 6c Td 4c 9c Js 3s Jc Kh Ks 8s 5c 2c Ah 7h 4s 3d 7s 6h 7c As 2s 7d Kc 2d 3h 5d 6d 4h 5s 3c 4d Tc 6s 9h Ac];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6c, 8c];b2;Hero[8d, Kd];b0
