 Kd 8d Qs Th Qd Qc] [ Kh 9h 9d 5c 4h 7s 8s 5d 7d 6h 2s 2c Ah Ks 5h Ts 9s Ad 3c Qh Td 2d 7c Jc Ac 6d 3s 3h 9c 4c As 3d 4d 2h 6s Kc Jh Jd Tc 7h 6c Js 4s 8h 8c 5s];[Qc, Qd, Th, Qs, Kh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,69] ;Hero(12) ;12;b1[Ah, 7d]17110;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 6d Jd 5c 3h Jc Td As 7c 5d 2h Ad Kh Jh Ks 3c 2s 6s 8c Js 4c 5h 3s Qh 7d 6c 2d 9d 7s 9s 8s 8h 7h Ah 4h Ts 6h 2c 3d 9h 5s Kc 9c 4s Ac 4d Tc];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[As, 6h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5d 5c 6c 5h 9h 6s Kc 4s 9s 4h Jh Ts Ad Ac 2c Ah Js Jc 7s Qh 8c 9d 3h 7d Jd 2h 6d 3d Tc Kh Td 4d 3c 8s 8h 7h 2d 9c As 5s 7c Ks 3s 6h 4c 2s];[Qc, Qd, Th, Qs, 5d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[8h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2s 9d Js 5h 5d Ad 9s Kc Ah Qh 9h 6c Td 3d 2c 8c 2d 5s 9c Ac 3h Jc Tc Ts 6s 2h 8h As 6h 4c 7h 4s Ks 7c 5c Jd 7s Jh 8s 7d 3c 4h 3s Kh 6d 4d];[Qc, Qd, Th, Qs, 2s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[9h, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jh Ts Ks 9d 7d 4c 7h Kc 7s Qh As 2c 5c Kh 3s Jc Jd 2h 3h Js Tc 4h 8h 4s 5d 3c Td 6h 9s 6d 6c Ad Ah 9c 7c 5s 9h 6s Ac 2d 8s 4d 8c 2s 5h 3d];[Qc, Qd, Th, Qs, Jh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[5c, Tc]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 8c 3c 9d Ac 2c 8s 9h 7c Ad 4d Jd 6c 2s Jc Ts 9s 4s Kc Td 2h 6s Jh Ks 5h 5c 5s 3d 5d Ah 7d 3h 6d 7s Js 4h 6h 8h 4c Kh 9c As Tc 2d 7h 3s Qh];[Qc, Qd, Th, Qs, 8c];null;null;b1[c:18,12] ;b1[c:18,51] Hero[c:0,69] ;Hero(12) ;12;b1[Kh, Ac]17110;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 9d 9h 2c 5h Ac 7h Ah Ad 3c 7c 4c Jh As 4s Tc Kh 6s 6h 5s 4h 3s 8h 3h 3d 8c Js 2h 7s 7d 5c 4d Ks 9c Ts Qh Kc 8s 9s Jd Jc 2d 2s 6d Td 5d 6c];[Qc, Qd, Th, Qs, 9d];null;null;b1[c:18,12] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[8s, 9s];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2d Qh Jh Ts 2h 5c Td 6c 3c Kh 4c 2s 3h 4s Ks 7h 9s 3d Jc 9h 5s 4d 5h 7c As Jd Js 6d Kc Tc 7s 8s 9d 4h 8h 6h 2c 7d 5d 3s Ad 6s 9c Ac 8c Ah];[Qc, Qd, Th, Qs, 2d];null;null;b1[c:16,57] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Jh, Kc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6s 9c 6h Ks 2s 5h 8c 3h Ts 6c 3c 9d Ah Td 7c 2h 5s 4h 9s Jh 5c 6d 7h Kh 3s 8h Ad 8s Js As 9h Jc Tc 4s Qh 5d 7d Kc 4c 3d Ac 7s 4d Jd 2d 2c];[Qc, Qd, Th, Qs, 6s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[f:6,8] ;Hero{12} ;12;b1[9h, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ah Ts Kh Ac 4d As 2c 5h 5s 6h 3h 2s 7d 6s Kc 7s 4h 8s 3c 8h 5c Js 7c 6d 6c Qh Jc Ks 2h 8c 9h 4s Jd 3s Ad Jh 9s Tc 2d 5d Td 4c 9d 9c 3d 7h];[Qc, Qd, Th, Qs, Ah];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[4d, 4c]28795;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Js 3h Jh Ad 2c 4s 8s 4c 3d 4h 5s Kc Tc 6h 5h 3s Ks Kh 5d 3c 6d 4d Jd 2s Qh 9c 7d Td 8h 2d Ac 2h 6s 8c As Ts 9s 9d 6c Jc 9h 7c 7h 7s Ah 5c];[Qc, Qd, Th, Qs, Js];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[4h, 4c]28795;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 2s 6h Ac 5h 5c 2c 4c 2d Jh 6s Js As Ad Jd 9h Tc 3s 7s 8h 2h Jc 4d Td Qh 3c Ks 6d 5s Ah 9c 9d 7d 4s 8s 5d 7h Kh Ts Kc 9s 6c 3d 8c 3h 4h 7c];[Qc, Qd, Th, Qs, 2s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Js, Ks]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6s Ks Jd 2d 5c Tc 3h 8c 9h Jc 7h 3c 9s 6h 7c 6d As Ah 2s Kc Kh Ac 7s Jh 9d 9c 4c 2c 3d Td 8h Qh 5s 7d Js 5h Ad 4d 4h 3s Ts 6c 8s 5d 2h 4s];[Qc, Qd, Th, Qs, 6s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Ts, Kh]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Tc 9c 5d Td 8c 2c As Qh Ah 3d 7h 3h 8s Js 3c 5h Jh Ts 9d Kc Jc 7d 4s 6s 5s 6d 3s 9s 4d 2s Ac 2d 6h 2h 5c 7c Ad 4h Ks 9h 6c 4c Kh Jd 8h 7s];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[8h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9c Ah Jc 6d 7c 2s 2c Ts 5s 9d 3c 3d 9h Kh 9s Js Tc Jh 4s Kc 4h 4d Td 8s 5d Ac 6c Jd 2d 7h Ad Ks 2h As 3s 7d 4c 6s 7s 5c 6h 8c 8h 3h Qh 5h];[Qc, Qd, Th, Qs, 9c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Jc, Kc]20489;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Js Kc Ts 2h 2c Kh 5c 8h 3c 7h 5s 2s 3s 9c Tc 9d 4h 7d 4s 9h 8s 6s Td Ah Ks 3d Ad 6h 5h Jh Jc 6d 2d 6c 4d 7s 8c 9s 3h 5d 7c Jd 4c Ac Qh As];[Qc, Qd, Th, Qs, Js];null;null;b1[c:18,12] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[Jh, Ac];b2;Hero[8d, Kd];b0
