 Kd 8d Qs Th Qd Qc] [ Jh Ac 8c 2d Ad 5h 8s 6s 9d 6h Ks Jc 2h 2c 7d Js 5s 9h 7h 6d Tc 9c Ts 2s 4d 5d Qh Kh 6c 3c 7s 4h 4s Kc 9s Ah 7c 3s 3d 8h Td 5c 4c Jd 3h As];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9h, Td]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 9s Jh 5s 6h 7d Tc Js 7h 9h 4s 3c 5c 6s 2d 2h Ah Kh 2c 2s 4c Td Qh Ts Kc As 5h 6c 8c 4h 6d Jd 3s 8s 9d 8h Ac Ks 3d Jc 9c Ad 5d 3h 7s 4d 7c];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;b1(30) ;-14;b1[8c, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jd 7h 8c 5h Kc 2h 9c 8h Ks 2s 6d 4s 5d 6h 7d Tc Kh 6s 2c 9s 3h 5s 3s 3c Ac Td 4h 9d 4d Jh 7c Ah 3d Ts 5c Jc 2d Qh 9h 8s As 6c 4c 7s Ad Js];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Js, Tc]28802;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 2c As Js 5d 8s 9c 2s 7h 7c Jh 3h Td Qh 2h Ts 6d 4c 8c 5s Ac 8h 9s 3d Jd 7s 9h 7d Ah 4h 6h 4d 5h 5c 3s Kc Tc Jc 3c 9d Kh 2d 6c Ks 4s 6s Ad];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ts, 4c]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3d 8c Ac 9c 2s Qh 6s 7s 3s 4h 5d 3h Kh Jd 7h Ks Tc 6h 5h Ts 6c 4d Ad Js 3c 9h 7d Jc 2h 2d Kc 5s 2c As Jh 4c 7c 9d Td 6d 8s 4s 9s Ah 5c 8h];[Qc, Qd, Th, Qs, 3d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Js, Ah]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c 9s 8s 9d 8h 9c 4h 6d Kc 3c 7h 2s 5d 5c 5h 4d 3d 6h 6s 7c 2d 7d Ac 2h 3s Kh Tc 8c Td 4s 4c 3h Ah 6c Jc 7s 9h Jh Qh Ks Ad 5s As Ts Jd Js];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Kh, Ah]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h 2s 5c Kc 7s 7h Td 6c Kh 2d Ah 3d 4d 3h Tc As Jd 2c 8s Jh 5h 2h Js 8h 6h 4h 7d 4c 6s 7c Jc Ac Ts 5d 3c 5s 9c 9s 9d 6d Ks Qh 8c 4s 3s Ad];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9s, Jd]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3h 9c 5s 6h 6s Ks Td 6d Qh 8h 7c 5h 9h 4h 7h Ad 6c Ts 4c 3s 4d 4s Kh 7s As 9s Js Jh 9d 8s 7d 2d Jd Ac Tc 8c 2h 5c Jc 2s Kc 5d 3d 2c Ah 3c];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Kh, Ac]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8c 4h Ts 8s 9h 5s 5h 8h 4c Ad 6c Kh 6d 9d 4s 9s Jh 5d 6h 4d 3h 2d Ks 7s Js 3s Kc Td 6s Qh Ac 3d 7d Ah As Tc Jd 3c 7h 2c 9c Jc 7c 5c 2h 2s];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(16) ;16;b1[Ad, Jc]17109;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 2s 8c 3d Ah Td 2c 5s 4s 7h 8s 5d Tc Ks 5c Ac 2h 7c Jc Ad 7s 3h 7d 4h 6d 6h 9d 2d 6s 9h Jd 4c Js Jh Kc 6c 8h 4d 9c As Ts Qh 9s 5h 3s Kh 3c];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[6h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Js 2c 5d Ad Ks 7s Ac 4h Td 6c 9s 7h 6h 3h 6d 3c 8h 5s 3d 2s 3s 2d As 4d Jh Tc 6s Jc 5c 5h 4s Ts 9c 8c Kc 2h 7d 4c 7c Qh 9d Jd 9h Kh Ah 8s];[Qc, Qd, Th, Qs, Js];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9s, Kc]20489;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 3c Ks 7s Ah 8s Jd 3s Jh 6d 9s Qh 2h 6c Kc 8c 5c 8h As Ac 4d Ad 2c 7h Kh 2d Tc 7c 4s 3d 6s 4h Jc 9c Td 5h 4c 9h Js 7d Ts 2s 5s 3h 6h 9d 5d];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(30) ;-14;b1[Ts, Js]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4h Jd 3s 2h Qh Kc 2c 6h 8h Td 9c Jh Tc 5c Kh 4d 2s 9h 3d 7s 4s 7c 5s Js 6c 6s As 6d 7h 5d Ks 5h 9d 4c 2d Ts 3h Ac 8s Ad 3c Jc 8c Ah 9s 7d];[Qc, Qd, Th, Qs, 4h];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[Jd, Kc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5c 9s 7s 5s 4h 5h As 7h 8s 4d 3h 2s Tc 5d 4s Ah 3d 3s 2c 3c Jh 2h 9h 8h 6s 9d Td Ad 6d Kh 2d 7c 9c Qh Kc Ac Ks 6c 7d Jc 6h 4c Js Ts 8c Jd];[Qc, Qd, Th, Qs, 5c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ah, Jd]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ks 6h Jh 4s 3h Ts Qh 4d 3c Jd 8s 5s Kc 9c 4h 5h 5c 7h Ad 7c Jc 9h 2s Js 8h Td 5d 3d 4c 2d 7s Ah Kh 6d Tc 7d As 9s 8c 2h 6s Ac 6c 9d 3s 2c];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[c:94,5] Hero[r:0,87] b1[f:94,5] ;Hero{12} ;12;b1[Ts, Ks];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 8h 4h 6h 3h 3c 7d Tc 5h 9s 5s 4d Kc Js 5c 4c Ad 8s 6c 9d 4s Td 9c Ks 7c 9h Ts 2s Jh 2c Jd 2h Ac 6d 3s 5d As Kh Jc Ah 7s 8c 6s 7h 2d Qh 3d];[Qc, Qd, Th, Qs, 8h];null;null;null;b1[r:8,78] Hero[c:0,9] ;b1(30) ;-14;b1[9s, 9h]28800;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 8s Ts 2h 5s 3s 7h 9c 4s Ks Jc 7c 7s 4d 6c Ac Ah 5d 6s Td Jh 5c 9h Tc 9s 4c Ad Js 8c As 9d 6d 7d 2c 8h 5h 6h 3d Qh 3c Kc Kh Jd 2d 4h 2s 3h];[Qc, Qd, Th, Qs, 8s];null;null;null;b1[c:2,3] Hero[r:0,87] b1[r:2,3] Hero[r:0,9] b1[c:2,3] ;b1(46) ;-22;b1[Js, Jc]28802;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 6c Qh 9c 7s 9s 5s Ks Jc As 6h 3h Kh Ac Ad Ah 7d 8s 4c 3d 2s 3c 5c 8h 9h 5d 7h 8c 4d Jh 5h 9d 6s Kc Js Ts 4s 3s 7c Td 4h Jd 2h 6d 2d 2c Tc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:8,78] Hero[r:96,4] b1[r:8,78] Hero[c:0,9] ;b1(46) ;-22;b1[3h, Qh]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3s 8h 5h 5d 8s Jc 2s Kh 6h Ts Kc Ah 7c Tc 7d 9h 3c 7s 4d As Qh 5c Td 2d Jh Jd 6c 2h 9c 9s 5s Ad 7h 4c 9d 6s Ks 4s Ac 6d 2c 8c 3h 4h 3d Js];[Qc, Qd, Th, Qs, 3s];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[Jc, Kc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kc 2d 6h 6d 7d Ad 2h 4h Ac 7s 5s Ks 9d Jc 6s 7c 2s Ts 7h 5d Kh Tc 4d 8h Ah 8c Jh 6c 3d As 4c 5h Qh 2c 9c 8s 3c 3h 3s 4s 9s 5c Jd Js Td 9h];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(16) ;16;b1[2h, 2c]28793;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 4d 8c Kc 7s 6c Jh 4h 2h 5c 6d 2c 8s 3s 5h Td 9d Ah 7h Qh 9c Jc 5d 9h 3d Ac 2s 6s Tc 9s 3c Ts 4s 6h 5s 4c Kh Ks Jd 2d 7d 7c As 3h Js 8h Ad];[Qc, Qd, Th, Qs, 4d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9s, 9h]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kh 9c 4c 3c 8c 4s Jd 4h 7c Js 9d Tc 2d Ks Jh 2s Ad 8s Ah Kc 3s Jc 7d 3d 6c 7h Ts Ac 6h 5s 7s 9h 3h 5d 9s 4d Qh 5h 2h As 6s 6d 2c 5c 8h Td];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(16) ;16;b1[Td, Jc]28801;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 6h Td Jc 4c 7d 2d Js Ac 6c Ts 8h 9s 7h 3h 9h Kh 8s 7c Tc 3s 3d 4d Ad 2h 6d 4h 5h Ah 4s 7s 9c 5s 5d 2c Qh 6s Jd Jh 8c As 2s 9d Kc 5c Ks 3c];[Qc, Qd, Th, Qs, 6h];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[Ks, Jh]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2s As 2h 4h Jc 8h 6c Td 7s 3c 8s Ad 7c 7d Js 2c Ah Kc 9d Ac Tc Qh 3h 6s 9s Ks 9c 4c 6h 6d Jh 9h 3d 5s Jd 8c 5h 4d 2d 3s 7h Kh 4s 5d 5c Ts];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Kc, Ac]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h Ad 6s 8s Kh Ah Ac 4h Kc 8c 9d 7s 7h Ks 5s 7d 6c 6d As 2d 9c 3s 9s 2h Tc 2s 7c 5d 6h Jh Jd 9h 3c Ts 4d 3h 3d 2c 8h Jc 5c Js Td 4c 4s Qh];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[9h, Jh]17089;b2;Hero[8d, Kd]17098;b0
