 Kd 8d Th Qd Qc] [ 3h Jd Jc 2h Qh 2d Tc 9c 3c 6c 7c 5d 7d 4c 6h 9h Js Kc 9s Jh 4d Kh Ts 3s Ah 4h Qs 8h 5h 6s 4s 9d 8c 7s 5c Ad 5s 6d Td Ac 7h 8s As 2s 3d 2c Ks];[Qc, Qd, Th, 3h, Jd];null;b1[r:17,17] Hero[c:0,37] ;b1[c:16,57] Hero[c:0,36] ;b1[r:18,51] Hero[f:88,11] ;{8} ;-8;b1[4s, Qs];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d 5s Td 7h As Kc 4c 6s 3h Qs Ac 6h 2c 9c 4h 5h Ts Jc Tc Ks 6c 8c 7d Js 6d 9s 9h Ah 5c 5d 4s 9d 2d Jh 7c Kh 2h Ad 3c 8h 3s Qh 4d 7s Jd 8s 2s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Ks, 3h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9c Ts Ad Jc 2d Tc 6s 9s 4s Jh Ah Kc Js 7d Td 3h 6c 4c 4h 6d 3c Qs 5c 5s Qh 8s 2c 7c 6h 9h 8c 5h 2s As Jd Ac 8h 4d 7s 9d 7h 5d 2h 3s Ks 3d Kh];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3d, 5d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6c As Ks 5d Jd 4c 3d Qh Ts 3s Qs Ah 6s 5s 9c Kh 4h Kc 8c 2s 9s 7c Jh 4d 2c Js 7d 9d 9h 5c 6d 2h 3h Ad 8h 4s 7s 2d Ac 5h 8s Tc 7h Td Jc 3c 6h];[Qc, Qd, Th, 6c, null];null;b1[r:17,17] Hero[c:0,37] ;b1[r:16,57] Hero[f:81,18] ;null;{8} ;-8;b1[Ts, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks Jh 2d 4h 6h 9s Kc 7d Js 9c Ah Qs 7h 9d 2s Ac Td 3s 3d 8s 6c 5h 7c Tc Qh Jc 5c Jd As 5s 3c 3h Ad 5d 4s 6s 8c 2h Kh 4d Ts 2c 7s 6d 4c 8h 9h];[Qc, Qd, Th, Ks, null];null;b1[r:17,17] Hero[r:0,37] b1[c:17,17] ;b1[c:18,12] Hero[r:9,72] b1[f:69,23] ;null;Hero{12} ;12;b1[Ks, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9c 5h 6c 4d Ac Jc 2s Jh Qs 8c Jd Ad 4c 3h 6h Kc Js 8h Kh 3c Tc 7c 2h 9h 9s Qh Ks Td 9d 3d 7d 7s Ts 4h 2d 5c 2c 6d 6s 8s 7h 5s Ah As 5d 3s 4s];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[Jh, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9h Ad 5d 7s Jd Ts 7c Td Kh 3h 4c 2s Qh 9c 5h Ks 8c 3d Ac 8h 3c Tc Qs Jh 5c As 5s 2d 9s 6d 8s 7d 6s 2c 6c 7h 3s 4h 4s Js Jc Kc 9d 2h Ah 6h 4d];[Qc, Qd, Th, 9h, null];null;b1[c:17,17] ;b1[r:18,12] Hero[r:0,36] b1[f:18,12] ;null;Hero{12} ;12;b1[7s, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6h Ad 7h 3d 4s 5s 3c Js 7d Ah Jc Ks As Jd 5h 2h 8c 9h Kh Qh Td Qs 9s 4d 6c 2d 5c 6d 8h 7s 4h Jh 3s 4c Tc Ts 2s Ac 3h 8s 9c 7c 9d 5d 6s 2c Kc];[Qc, Qd, Th, 6h, Ad];null;b1[r:17,17] Hero[c:0,37] ;b1[c:16,57] Hero[c:9,72] ;b1[c:6,8] Hero[c:0,23] ;b1(18) ;-8;b1[As, Ad]28827;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 6h Jh 5d 7s Ad 5c 3h Ts 2d 9s 2s 4h 8s 9d Kc 8c 6s Ah 6d As 6c 3c Tc 9h 9c 7d 8h 3s 7h Jc 4s 4d Kh Qs 5h Js 2c Td 3d Jd 7c Ks Qh 5s 4c 2h Ac];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4h, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7d Ac 7s 4d Kc 2c Jd 5s Ks 6s Td 7c Tc 2d 6c 9s 2s 5h 3h Kh 5d Jc 9h As Js Qs 4s 8c 4h 2h 3c Ah Qh 4c 9d 6d 6h 3d Ad 8s 5c Ts 7h 3s 8h Jh 9c];[Qc, Qd, Th, 7d, Ac];null;b1[c:17,17] ;b1[c:16,57] Hero[r:9,72] b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Td, Ac]13133;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ Kc Td Qs 9c 8h 5s 7d 6c 8s Jc 4h Ah 6s As 9d 7c Kh 4c 6h 3d 2c Js 9s Ac 3s 2s Jh 8c 3c Jd 7s 5c 2h Tc Qh Ts Ks 5d 6d 4s 4d 3h Ad 5h 9h 2d 7h];[Qc, Qd, Th, Kc, Td];null;b1[r:17,17] Hero[c:0,37] ;b1[c:16,57] Hero[r:9,72] b1[c:18,12] ;b1[r:18,51] Hero[c:0,23] ;b1(34) ;-16;b1[Js, As]20490;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ Ad 3s 2d As 4s Ac 3h 5d Qh 3c Ah 9h Kh 5c 7h Ks 4c 8c 8s 9s 5h 6c 9d Td 2s Qs 4h 9c 6d Jc Ts 5s 8h 7d 3d 6s 4d Jd 6h 2h 2c Tc Js 7c Kc Jh 7s];[Qc, Qd, Th, null, null];null;b1[f:17,50] ;null;null;Hero{6} ;6;b1[3d, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6d 7s 4d Jc 3s 8c Js 5c 6h 2c 9d 8s Kc 4c 3c 4h 5s 7c 2s Jh 4s Ad 9h 7h 2d As 8h 9s Td Qh Ac Jd 9c 6s Qs 5d 3h 6c 3d Ts Ks Ah Tc 7d 2h 5h Kh];[Qc, Qd, Th, 6d, 7s];null;b1[c:17,17] ;b1[r:18,12] Hero[r:0,36] b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(38) ;-18;b1[9s, 9d]12868;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 5d Ks 9s 7c 4s 7h Ts Ah Td 7d 2d 8c 8s 6h 4h Ad 5h 2c Jc Kc 2h Jh 5s Ac 9d 3s 9h Kh 9c Js 2s 8h 4d Qh Jd 7s 6s Qs As 6c Tc 4c 5c 3h 3d 6d 3c];[Qc, Qd, Th, 5d, Ks];null;b1[c:17,17] ;b1[c:18,12] Hero[c:0,36] ;b1[r:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[Jh, Tc]12881;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ 6d 8c Tc 8h 4d 4s 3h 7c 5c Ts 9h Td Jc 4h 8s 5d 6h 2c Jd Kh 6s 9d 2h 9s Kc Ah Jh 6c 7s 3d 2s Js 5s Qs As 3s 5h 3c Ad Qh 9c 7d 2d 7h Ac 4c Ks];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7s, 9s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5h Jc 3h 5c As 8c 6c Ah Tc 9c Ac Ts 9d 3s Ks 9h 2s 4d Js 9s 4h Qh Jh 4s Ad 3c Kh Kc 2d 8h 5s 7h 5d Jd 7c 8s 6d Td 6h 6s 2c 7s 2h 3d Qs 7d 4c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Ks, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5h Ah 9h Js 8s Ts 6s 9s 2d Ks 8c 4c Td 3h 3s 6h Ac 5c 7s Jh Kh 2c 9d 7h 4d 4h 6d 2h 2s 3c 9c Ad 7d Jc Jd 4s 8h 5s Qs As 6c Qh Tc 5d 7c 3d Kc];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2s, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Js 3h 3s 7s Kh Tc 2h 8c 2c 9c Qh 5h 8h Ks 5c 8s As Jc 7h 6h 9h Ts Jh 7d Ah 9s 4h 4s Jd 6s 9d 7c 2d Td 3d 5d 2s Ad 5s 4d 6d 3c 6c Kc Ac Qs 4c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7c, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9c 2h 5c 6c 2c 7c 5s Jd 4s Jc 2s 8s 5h Ad 8h Ah Qs Ac 9s 4c 7h 7d Jh Td 2d Ks 3d Js 4d 4h Kc Qh 6d Kh 7s As 6s 9h 3h 5d Ts Tc 9d 8c 3c 3s 6h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, 4d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2d 9c 3d 4c 5s Jc 6d As 7d 7s 8h 9h 5c 7h Ks Qs 5d 6h 3c 6s 2h 3s 9d Ah 7c 5h Kh Ad 2s 2c Tc 6c 8s 8c Ts Jd Kc 4d Qh 4h 3h Td Js 4s 9s Ac Jh];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5h, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks Jh 3h Ts Qh 8c 9h Ac Tc Kc Kh Jd 4d 4c Js 2h As 8h 5h 5s 6s 9d 6c 3c 7h 2s 2d 7s 5c 4h 8s 6h Jc 2c 9c 7c Ad 7d 6d 4s 3d 5d 9s Ah Td Qs 3s];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[8h, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4d 2c 2h 7d 8h 6h Ah 3c Tc Jc 6c Ad 9h Ac 5h Jd 4s 9d 3h Kh Kc 7s 3d Js 7c 6d 3s Qs Ts 2d Td Jh 9c As 7h 5d 8s 4h 8c 4c 6s 2s 5s Qh 9s Ks 5c];[Qc, Qd, Th, 4d, 2c];null;b1[c:17,17] ;b1[c:18,12] Hero[c:0,36] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{8} ;8;b1[5h, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2d 2h 4c Jd Ts 7c Ac Tc 2c 8s 6h Jh Qs 3s Td 5c Ad Jc Qh 7d 5s 9d Ks Ah 3c 5h 9h 6c 5d 4d 8h Kc 6s Js As 4s 8c 7h 4h 6d 9c 3h 3d Kh 2s 9s 7s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2h, 3h];b2;Hero[8d, Kd];b0
