 Kd 8d Th Qd Qc] [ 9d 6s 5s Td Kh Ts 3d Qs 4h Jd 2d Jc 6c Ah Tc 5c 6d Ac 3h 7d Jh 3s Ks 9s Ad Kc 4c 4s 9h 8s 5d 7c Js 2h 2s 2c Qh 3c 8c 9c 6h 7s 8h 5h 4d 7h As];[Qc, Qd, Th, 9d, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:0,16] b1[f:87,9] ;null;Hero{8} ;18;b1[6s, As];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4c 3h 9s 6h Ts Qs 6d Ah 2c 4d Kc Ks 9d 5s 5h 4s Js 2s 2d 9h 3s Td 5c Tc Kh 7d 7h 7s 7c Jd 4h 9c Jc 6c 5d Qh 8s Ad As Jh Ac 8c 6s 3d 3c 2h 8h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[As, 3d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5s Ah 9d Ks 3s 3h 7s Qs Td 4s Ac 7h 4c 2h 5d 4d 3c 2d 8s 7c Qh 9h 6h 2s 8c 6d 6s 9c 4h Kc 3d 8h Ad Jd As Js 5h Jh 9s 7d 2c 6c Tc 5c Kh Ts Jc];[Qc, Qd, Th, 5s, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:0,16] b1[f:87,9] ;null;Hero{8} ;8;b1[7d, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6c Td 2d 2h 2c 5c 7c 6s 9h As Jc Js 9d 7h Kc 7s 5d 6h 9s 3h 3c 6d Ac Qs Kh Ah 5h Tc Ts 4d Ad Qh 8c 5s Jh 8h 4s 2s 4h 7d Jd Ks 3d 8s 3s 9c 4c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8c 8h Ac 9d 8s 2h 6s Jh 3d 7h Tc 4c 2s 3s 4s Js 6d 2c 6c 9s Qh Qs 5d 9c Jd 6h 7c 9h Ad Ah 4d Ts Kh 3c 5h Ks 7d 7s 2d 5c 4h Jc Kc 5s 3h Td As];[Qc, Qd, Th, null, null];null;b1[f:6,6] ;null;null;Hero{6} ;6;b1[Ts, 7h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Js Ks As 4h Ac Jh 5d 7s 4c Kh 3s Tc 2s 8s 4d 8c Qh 9c 2d 6h 9s Td 6c Jd 5c 6d Ts Kc 5s Ad 7d 4s 7h 8h 9h 3d Qs 3h Jc 9d 2h 6s Ah 7c 3c 2c 5h];[Qc, Qd, Th, Js, Ks];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[5s, Qs]17099;b2;Hero[8d, Kd]13013;b0
 Kd 8d Th Qd Qc] [ 6d 4h 5s 7s 4d Tc Kc Jh 6s 8s As 7d 8c Ad Ac 9s Td Ts 2s 2h 3d 4s Kh 3c Qh 9c Jc 6h 9h 2d 2c Jd 7h 4c Ah Ks 3h Qs 6c 7c 5h 9d 5c Js 8h 5d 3s];[Qc, Qd, Th, 6d, 4h];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[8s, Ah]10592;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 6d 8h Ac 7d 3c Js 3h Jh 9s 4h 4c 8s Tc 2c Kc 5h 2s 5s Jc 5c 6s 3d 6h 2d 4d 6c 7h 5d 9d 7c Ts Td Qs 2h 9h Ks As Jd 4s Ah 3s Qh 8c Kh Ad 9c 7s];[Qc, Qd, Th, 6d, 8h];null;b1[r:6,6] Hero[c:0,16] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[f:2,3] ;Hero{10} ;10;b1[8s, 9s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ As 9s Kh Ah 3s 4d Jc Ks 6c Td 3h 7h 2s 5s 9h 9c 6d 2h 8h 4c Qs 5c 8c Tc Qh Ad Kc 9d 2d 2c 5h Ts 6s Ac Jd 4s 4h Jh 7d 7s 6h Js 5d 7c 8s 3c 3d];[Qc, Qd, Th, As, 9s];null;b1[c:6,6] ;b1[c:8,5] Hero[r:0,16] b1[r:8,5] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{14} ;-14;b1[Jh, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2h 8c 2d Ks 7c Tc 2c Jd 5c Kc 5d 6d 8s Ts 6s Jc 7h 9h 3d As Ad 5h Td 9d 4d Jh 4s 6h 9c 5s 7s 2s 6c Js 4c 4h Ah Ac Qs 3c Kh Qh 9s 3h 3s 8h 7d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3s, 8s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ts 9d 6c 2c 5d 3s 7s Js 8c Jc Jd 7c 6s Jh Td 9h Kh 2d 3c 5s 2h 9s 4h As 8h 4d 3h Qs 3d 4c Ah 9c 2s Ad Qh 6h Ks 7h Tc Kc 4s 5h 7d 8s Ac 5c 6d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3h, 7h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kc 9s 9d 9c Ad 3h 3c 5d 9h 8s Qs Ts 2s As 7h Ac 2c 6c 4c 2d Kh 5s 5h Tc Td 4s 8c 6d 4h Jh Jc 7d 3d 3s Qh 8h 4d 7s Js 6s Ah Jd 5c Ks 7c 6h 2h];[Qc, Qd, Th, Kc, 9s];null;b1[c:6,6] ;b1[r:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[r:0,87] b1[f:94,5] ;Hero{16} ;16;b1[Ad, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Tc 8c 6h 5d Kc 2h 7d 4d As Jh Td 6c 9h Qs 3h 7s 4c Kh Ah 2c 3d 8h 2d 7c 9d 6d 5c 2s 4h 3s 9s Js 8s 3c Ts 6s Ad 5h 9c 4s Ks 7h Jd Jc Qh Ac 5s];[Qc, Qd, Th, Tc, 8c];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{6} ;-6;b1[9s, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks 2s Jd 5d 2h 8c 2d Td 2c 3s Js 4c 9h 6h Jc 5s 9c 9s 4h Qs 4s Kh As 7d Ts 6c 8s 5h 7h 4d Ad 6s 3c 7c Tc 8h Qh 9d 7s 3h Jh 5c Kc 6d Ac 3d Ah];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7d, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jc 6s 9c 6h Tc Jh Ad 9s 7s Ts 9h 7h 3c 8h As 5s 3h Qs 6c Js 2h 8c 2d 7d Td Kh 5d 5c 7c Ks 8s Qh 6d 2s 3d Jd Ah 4h Ac 3s Kc 9d 4s 2c 5h 4c 4d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6c, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6h 5d 3h 9d 7h 9h 3c Kc 5s Ah Tc Jd 8s 9s 4c 6c 8h 9c 3s Qs 4h 5c Ad 8c Ts 7d 2h 2s 7c 2d 5h 4s 4d Kh Ac Jh 7s 6d Js As Qh Td Ks Jc 2c 6s 3d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2d, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6c Ts 5d 5c 3d 6d 2d 7d As Ah Ks 3h 9s 8s Ad 7s 2s Ac Kc Tc 7c 7h Qh 8c 4h 6s 4s Jh 3c 8h Jd 3s 4d Js 5s 9c Qs 2h 2c 4c 9d Td 9h 5h Jc Kh 6h];[Qc, Qd, Th, 6c, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[Jh, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ As Qs 5c 6h Ks 6s 5d 7h 9h Td 5s 9d Jh 5h 3c Js 3s 9s 3h 2c 8c 9c Ah Ac 7c 7s Kc 2d 4h 4c 8h Jd 4s 2h 4d Ad Ts 8s Kh 2s 6d Qh 7d Tc 3d Jc 6c];[Qc, Qd, Th, As, Qs];null;b1[c:6,6] ;b1[c:8,5] Hero[c:3,88] ;b1[r:8,78] Hero[f:96,4] ;{6} ;-6;b1[7h, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jc 8c As 6h Ac 2c 3h 9s 8s 3s 9h 7d Jh 5s 4d 4s 5c Ah Qh Td Ks 9d 4h 6d 7s Ts 7c Kh Kc 9c 6s 2d Js Ad 8h 2h 5h 3d Qs Tc 3c 7h 2s Jd 4c 6c 5d];[Qc, Qd, Th, null, null];null;b1[f:6,6] ;null;null;Hero{6} ;6;b1[Ad, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7s 8c 3h 7d 9h 8s 5d Ad 8h 2h 2s 4d 3d 4h 6c 2d Ac Td 7c 6s 5s 3c Jh Ah 6h Js 3s Qs Kh Tc 2c Ks As Jc 4c Jd Qh 9s 7h 5c 9c Ts 5h 6d 9d 4s Kc];[Qc, Qd, Th, 7s, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:0,16] b1[r:7,80] Hero[f:92,7] ;null;{10} ;-10;b1[8s, Ac];b2;Hero[8d, Kd];b0
